V1 ID,Article ID,V1 Status,V1 Round,V1 RA-ID,V1 Date Coded,Main Point,Climate Attribution Topic,Negative Impacts/Risks,Human Responses,Environmental Justice Topic,Notes
11,Ches/HABs-JJ-234,2,1,DM,2021-08-05,"Eating less meat can reduce animal waste going into the bay, according to a UVA professor.",5,0,0,0,repeat of jj201 plus this one has ads covering
12,Ches/HABs-JJ-235,2,1,DM,2021-08-05,Drones are being deployed to better study environmental concerns by riverkeepers.,0,1,0,0,
13,Ches/HABs-JJ-236,2,1,DM,2021-08-05,Location of toxic algae areas found by documenters.,0,2,0,0,
14,Ches/HABs-JJ-238,2,1,DM,2021-08-05,"Blue-green algae, which has killed dogs elsewhere in the country, has been found in the Bay Watershed",1,1,0,0,
15,Ches/HABs-JJ-239,2,1,DM,2021-08-05,Meat consumption is leading to more nutrient pollution and warmer weather leading to more algae blooms.,3,3,0,0,Did not include any human responses because they were theoretical advice
16,Ches/HABs-JJ-240,2,1,DM,2021-08-05,Scientists from the University System of Maryland and policy makers are meeting to discuss Bay-related issues.,0,4,0,0,"This seems to be a news release and not a full article, should be flag articles less than a page?"
17,Ches/HABs-JJ-241,2,1,DM,2021-08-05,"An ongoing algae bloom is believed to have caused a fish kill in Hampton's
Indian Creek.",0,3,0,0,
18,Ches/HABs-JJ-242,2,1,DM,2021-08-05,"The creekwatchers, a group in Maryland, are monitoring water quality in Wicomico country and seeing an increase in Algae blooms",0,3,0,0,
19,Ches/HABs-JJ-250,2,1,DM,2021-08-05,Climate Change is affecting Virginia and the state government must act. ,4,4,0,0,
20,Ches/HABs-JJ-274,2,1,DM,2021-08-05,A ten year study from VIMS shows that fish that live near the bottom of the bay are negatively impacted by algae blooms.,0,3,0,0,Wrong pdf... pdf is actually JJ (273)
21,Ches/HABs-JJ-292,2,1,DM,2021-08-05,"High rainfall degrades Chesapeake bay health, but less than predicted.",0,1,0,0,
22,Ches/HABs-ST-7,2,1,DM,2021-09-29,Summarizing successes of CBP over past 35 years involving algae blooms.,0,2,0,0,
23,Ches/HABs-ST-117,2,1,DM,2021-09-29,Pet owners in Maryland and Virginia are warned not to allow pets to drink from ponds with algae blooms as it is very harmful.,2,5,0,0,Title and author do not match ST (117) PDF
24,Ches/HABs-ST-132,2,1,DM,2021-08-19,"Federal caps on water pollution imposed by the EPA, in addition to nutrient cap trading, seems promising in helping improve the health of the Bay.",0,1,0,0,
25,Ches/HABs-ST-133,2,1,DM,2021-08-19,"States are improving due to more state regulation, but illegal pollution makes it likely more stringent guidelines are necessary.",0,0,0,0,
26,Ches/HABs-ST-134,2,1,DM,2021-08-19,Maryland state budget cuts have put some bay restoration projects on hold.,0,2,0,0,
27,Ches/HABs-ST-135,2,1,DM,2021-08-19,In order to reduce HABS in California efforts should reduce nutrient pollution. ,0,1,0,0,
28,Ches/HABs-ST-136,2,1,DM,2021-08-19,Article arguing US and Canada should apply standards to pollution in Lake Erie.,0,1,0,0,
29,Ches/HABs-ST-137,2,1,DM,2021-08-19,"Ohio should work with the federal government to enact a daily limit to nutrients entering Lake Erie, similar to the Bay in 2009.",0,1,0,0,
30,Ches/HABs-ST-138,2,1,DM,2021-08-19,"Algae blooms in Maryland are suspected to have killed over 100,000 fish.",2,3,0,0,
31,Ches/HABs-ST-139,2,1,DM,2021-08-19,"Your diet, including corn and meat consumption, is contributing to algae blooms in the Chespeake Bay, Lake Erie, and the Gulf of Mexico",2,2,0,0,
32,Ches/HABs-ST-141,2,1,DM,2021-08-19,Algae blooms are increasing in frequency in the Chesapeake Bay and around the world,1,3,0,0,
33,Ches/HABs-ST-142,2,1,DM,2021-09-29,"Algae blooms are increasing to due meat consumption and demand for fossil fuels, including in the Chesapeake Bay.",2,2,1,0,
34,Ches/HABs-ST-143,2,1,DM,2021-09-29,Article detailing harmful algae blooms around world.,0,1,0,0,
35,Ches/HABs-ST-144,2,1,DM,2021-09-29,"A harmful algae bloom has been spotted in Montgomery Country, Maryland",1,1,0,0,
36,Ches/HABs-ST-146,2,1,DM,2021-09-29,Details Large Study on Marine Species Diversity.,0,0,0,0,
37,Ches/HABs-ST-148,2,1,DM,2021-09-29,Activist group for Lake Erie urge same EPA classification as Chesapeake Bay.,0,1,0,0,
38,Ches/HABs-ST-149,2,1,DM,2021-09-29,Ms. Rabalais is studying algae blooms in the Gulf of Mexico.,0,1,0,0,
39,Ches/HABs-GC-144,2,1,EH,2021-07-22,There has been an increase in some types of HAB events in the CB,1,2,0,0,
40,Ches/HABs-GC-145,2,1,EH,2021-07-22,There has been an increase in some types of HAB events in the CB,1,2,0,0,
41,Ches/HABs-GC-146,2,1,EH,2021-07-22,"Pfiesteria was long blamed for fish kills and human illness, but other algae species seem to be the cause. ",1,1,0,0,
42,Ches/HABs-GC-147,2,1,EH,2021-07-29,Outlining how other areas have dealt with HABs to inform FL HAB mitigation,0,2,0,0,
43,Ches/HABs-GC-148,2,1,EH,2021-07-22,Virginia state representative introduced HJR 40 which requests a study of HABs in VA.,0,2,0,0,
44,Ches/HABs-GC-150,2,1,EH,2021-07-22,"Algal blooms, due to fertilizer runoff, have impacts that are felt beyond the ecosystem",0,1,0,0,
45,Ches/HABs-GC-151,2,1,EH,2021-07-22,VA released Phase III WIP,0,0,1,0,
46,Ches/HABs-GC-158,2,1,EH,2021-07-26,There have been incidences of dogs being killed by HABs; the public should be aware of the dangers of toxic algae,0,0,0,0,
47,Ches/HABs-GC-159,2,1,EH,2021-07-26,Researchers at UMD are exploring the use of beer by-product to curb algae growth,1,0,0,0,
48,Ches/HABs-GC-160,2,1,EH,2021-07-26,12 HAB sites across the country have received research funding through federal grants,0,0,0,0,
49,Ches/HABs-GC-162,2,1,EH,2021-07-26,NOAA forecasting larger-than-average hypoxic zone in the CB,0,0,0,0,
50,Ches/HABs-GC-164,2,1,EH,2021-07-26,Recommending steps for the federal government to take  to decrease toxic algae bloom,0,0,0,0,
51,Ches/HABs-JH-4,2,1,EH,2021-07-26,"Decades of cleanup efforts, including TMDLs first established in 2010, are imporving water quality in the CB",1,0,0,0,
52,Ches/HABs-JH-9,2,1,EH,2021-08-04,Highlighting HABS in California and CB,1,1,0,0,
53,Ches/HABs-JH-11,2,1,EH,2021-08-26,NOAA begins funding 12 research projects around the country,0,1,0,0,
54,Ches/HABs-JH-22,2,1,EH,2021-07-29,Explains types of HABs and their causes,0,3,0,0,
55,Ches/HABs-JH-28,2,1,EH,2021-07-30,National Resource Council exploring the option of introducing a non-native oyster species to the CB as the native species dwindles,0,1,0,0,
56,Ches/HABs-JH-102,2,1,EH,2021-08-04,Discussing NOAA funding for HABS study at University of Washington and University of Alaska,0,0,0,0,
57,Ches/HABs-JH-103,2,1,EH,2021-08-04,Describes a range of microscopic organisms' effect on water quality and health,0,1,0,0,
58,Ches/HABs-JH-104,2,1,EH,2021-08-04,Discussing fish kills and discoloration due to first HAB event in CB in 20 years,0,1,0,0,
59,Ches/HABs-JH-105,2,1,EH,2021-08-04,HABs occurring in CB and NOAA is monitoring,1,1,0,0,Reprint of GC-144
61,Ches/HABs-JH-109,2,1,EH,2021-08-04,Featuring zoology professor and her experience in marine research,0,1,0,0,
62,Ches/HABs-JH-110,2,1,EH,2021-08-05,"Researchers examining what species compose the ""green box"" (chlorophyll a) distribution in the CB",0,1,0,0,
63,Ches/HABs-JJ-8,2,1,EH,2021-08-05,Describing currnet HAB sites in DMV and that the public should avoid them,0,3,0,0,"Because of the way the article was saved as a PDF, part of the article is blocked by an ad"
64,Ches/HABs-JJ-15,2,1,EH,2021-07-27,Explaining link between heavy snowfall and increased HAB events,0,1,0,0,"For CA: ""expected to have increased temps this winter"" -- does it count? CA to the general event of HABs but not to a specific HAB event in the CB"
65,Ches/HABs-JJ-100,2,1,EH,2021-07-28,"Toxic algal bloom found in Potomac tributary, explains precautions to keep humans and dogs safe",0,1,0,0,
66,Ches/HABs-JJ-101,2,1,EH,2021-07-27,VA places Chlorphyll limit in James River,0,1,0,0,
68,Ches/HABs-JJ-118,2,1,EH,2021-07-28,"Environments, such as CBF, are concerned with EPA's reponse to HABs",3,1,1,2,
69,Ches/HABs-JJ-131,2,1,EH,2021-07-28,Executive director of CBF recommends additional measures to curb HAB growth,0,2,0,0,
70,Ches/HABs-JJ-205,2,1,EH,2021-07-30,Research working on way to feed algae greenhouse gases,0,0,0,0,
71,Ches/HABs-JJ-206,2,1,EH,2021-08-08,UMD researching preventive strategy to mitigate HABs using spent grain from beer production,1,0,0,0,
72,Ches/HABs-JJ-207,2,1,EH,2021-08-08,Virginia releases Phase III WIP,0,0,0,0,
73,Ches/HABs-JJ-208,2,1,EH,2021-07-30,COVID-19 pandemic causing pause in CB water quality data collection,0,1,0,0,
74,Ches/HABs-JJ-209,2,1,EH,2021-07-31,"Explaining affects of varying oxygen levels on marine life, including hypoxia",0,1,0,0,
75,Ches/HABs-JJ-210,2,1,EH,2021-07-31,Fish kill event in MD; could be attributed to HABs,0,2,0,0,
76,Ches/HABs-JJ-211,2,1,EH,2021-07-31,Nonprofits suing EPA for approving state's list for TMDL waters,0,0,0,0,
77,Ches/HABs-JJ-212,2,1,EH,2021-07-31,Editorial asserting governor-elect should continue water quality management programs,0,0,0,0,
78,Ches/HABs-JJ-249,2,1,EH,2021-08-08,"Two legislators describing, in an Op-Ed, a solution to mitigate HABs in the CB",0,0,0,0,
79,Ches/HABs-JJ-259,2,1,EH,2021-08-26,Predicting what environmental policy would look like in Trump's presidency,1,1,0,0,Ad blocking parts of article
80,Ches/HABs-JJ-260,2,1,EH,2021-08-09,Describing Congress FY2017 budget which fully funded CB cleanup as in previous years,0,0,0,0,
81,Ches/HABs-JJ-261,2,1,EH,2021-08-09,"Restoration efforts improving water quality, indicated by increased crab and oyster populations",0,0,0,0,
82,Ches/HABs-JJ-262,2,1,EH,2021-08-09,Total amount of dead zones in CB worst since 2014,1,2,0,0,
83,Ches/HABs-JJ-263,2,1,EH,2021-08-09,NOAA and USGS study forecasting smaller dead zone in CB during summer 2016,0,1,0,0,
84,Ches/HABs-JJ-264,2,1,EH,2021-08-09,Recommending eating less meat could help decrease nitrogen and phosphorous pollution in the CB,0,0,0,0,
85,Ches/HABs-JJ-265,2,1,EH,2021-08-09,New data-collecting buoy installed in CB,0,0,0,0,
86,Ches/HABs-JJ-266,2,1,EH,2021-08-09,Criticizing planning commission's attempt to stop CB restoration efforts,0,0,0,0,
87,Ches/HABs-JJ-305,2,1,EH,2021-08-12,CBF scientists celebrates smaller-than-usual dead zone,0,1,0,0,
88,Ches/HABs-JJ-306,2,1,EH,2021-08-12,HAB causes fish kill in VA,0,3,0,0,"Only first 3 pages of 19-page PDF are the HAB article itself - is that ok? When determining percentages, I counted the first 3 pages as the ""whole"""
89,Ches/HABs-JJ-307,2,1,EH,2021-08-12,,1,2,0,0,Only first 2 pages of 22-page PDF are the HAB article -  is that ok?
90,Ches/HABs-JJ-308,2,1,EH,2021-08-12,Report announcing scientist falsifying pollution test results,0,0,0,0,Only first 2 pages of 15-page PDF are the HAB article itself - need to download cleaner version for future text mining.
91,Ches/HABs-JJ-309,2,1,EH,2021-08-12,Fish kill keeping residents away from VA park,0,0,0,0,Only first 4 pages of 16-page PDF are the HAB article itself - need to download cleaner version for future text mining.
92,Ches/HABs-JJ-310,2,1,EH,2021-08-12,"Discussing that the Conowingo Dam is a ""ticking time bomb"" as it protects CB from sediment",1,0,0,0,
93,Ches/HABs-JJ-311,2,1,EH,2021-08-12,CBF sues VA to try to increase regulations on large-scale farms,0,0,0,0,
94,Ches/HABs-JJ-312,2,1,EH,2021-08-15,EBF and EPA announce agreement to curb pollution from farms,0,1,0,0,
95,Ches/HABs-JJ-313,2,1,EH,2021-08-12,Researchers hopeful about the potential of oysters to help clean up nitrogen pollution,0,1,0,0,
96,Ches/HABs-JJ-314,2,1,EH,2021-08-12,Laying out timeline of govt oversight in CB,0,1,0,0,
97,Ches/HABs-JJ-315,2,1,EH,2021-08-15,Discussing blue crab population downfall and its effect on watermen's income,0,1,0,0,
98,Ches/HABs-JJ-316,2,1,EH,2021-08-12,report of NASA employee falsifying TKN pollution,0,0,0,0,
99,Ches/HABs-JJ-318,2,1,EH,2021-08-30,"using satellites that monitor CB HABs, researchers are working to create a HAB warning system for freshwater lakes",0,0,0,0,
100,Ches/HABs-JJ-319,2,1,EH,2021-08-30,MD governor outlines new fertilizer regulations,0,0,0,0,
101,Ches/HABs-JJ-320,2,1,EH,2021-08-30,"In 2016, smaller than normal dead zone observed",0,2,0,0,
102,Ches/HABs-JJ-321,2,1,EH,2021-08-30,UMD researchers attribute improved water quality to air quality,0,0,0,0,
103,Ches/HABs-JJ-322,2,1,EH,2021-08-30,Satellites used to track HABs in CB now being also being used for Lake Erie,0,1,0,0,
104,Ches/HABs-JJ-343,2,1,EH,2021-08-15,Comparing temp data at Williamsport and Shepardstown stations,0,0,0,0,
105,Ches/HABs-JJ-344,2,1,EH,2021-08-15,Baltimore County government reminding residents not to put leaf litter in the street ,0,1,0,0,
106,Ches/HABs-JJ-345,2,1,EH,2021-08-15,Baltimore wastewater treatment facility to install (and pay for) and enhand nutrient removal system,0,1,0,0,
107,Ches/HABs-JJ-346,2,1,EH,2021-08-16,"Lawn fertilizer in MD greatly affects CB water quality, and the public is often unaware of the extent",0,2,0,0,
108,Ches/HABs-KD-12,2,1,EH,2021-08-15,"Explaining connections between snowfall, preciptation, HABs, and bacteria",2,1,0,0,
109,Ches/HABs-KD-25,2,1,EH,2021-08-16,Describing UMD and NOAA findings related to the frequency and species distribution of HABs in th eCB,1,2,0,0,
110,Ches/HABs-KD-27,2,1,EH,2021-08-16,Describing mahogany tide event that is largest in 20 years,0,2,0,0,
111,Ches/HABs-KD-106,2,1,EH,2021-08-16,"Attributing ""worst dead zone in history"" to the global meat industry",0,0,0,0,
112,Ches/HABs-KD-116,2,1,EH,2021-08-16,"Describing changes in CB water quality, including the effects of seasonal rainfall",0,1,0,0,
113,Ches/HABs-KD-117,2,1,EH,2021-08-16,Many CB scientists who were hired in the 1970s retiring,0,0,0,0,
114,Ches/HABs-ST-1,2,1,EH,2021-08-16,Overview of HABs and their link to nitrogen and phosphorous pollution,2,3,0,0,
115,Ches/HABs-ST-2,2,1,EH,2021-08-16,Warning of biolumniscient bloom in CB,2,2,0,0,
116,Ches/HABs-ST-3,2,1,EH,2021-08-16,UMD releases report that algal blooms have become increasingly frequent 1991-2008,0,4,0,0,
117,Ches/HABs-ST-5,2,1,EH,2021-08-31,"for some algae species, CB HAB events increasing in frequency",1,2,0,0,
118,Ches/HABs-ST-6,2,1,EH,2021-08-16,Advocating legislation for improved water treatment systems,0,3,0,0,
119,Ches/HABs-ST-110,2,1,EH,2021-08-17,"CBF advocating for aggressive EPA stance toward mitigating HABs, especially due to climate change",2,2,4,2,
120,Ches/HABs-ST-111,2,1,EH,2021-08-17,Describing high temperature trends in D.C. and in the Potomac,1,0,0,0,
121,Ches/HABs-ST-112,2,1,EH,2021-08-17,Explaining link between water temperature increase and dead zone formation,1,2,2,0,
122,Ches/HABs-ST-113,2,1,EH,2021-08-17,"Warning about flood events in MD, and how they are likely to increase in frequency due to cliamte change",1,0,0,0,
123,Ches/HABs-ST-114,2,1,EH,2021-08-17,Ocean productivity should be studied closely as climate changes causes temperature changes,1,0,0,0,
124,Ches/HABs-ST-115,2,1,EH,2021-08-17,Forecasting larger HABs following a winter with increased snow in MD and explaining connection between precipitation and HABs,2,2,0,0,
125,Ches/HABs-ST-123,2,1,EH,2021-08-17,Portions of Lake Anna (VA) experiencing algal blooms,0,2,0,0,
127,Ches/HABs-ST-127,2,1,EH,2021-08-17,"CBF director advocating for VA legislators to upgrade wastewater treatment plants, as well as agriculture and stormwater funds",0,2,0,0,
128,Ches/HABs-ST-128,2,1,EH,2021-08-17,"Dead zones are becoming more frequent, and decreased meat consumption could help mitigate this",1,2,0,0,
129,Ches/HABs-ST-130,2,1,EH,2021-08-18,UMD and CBP researchers predict smaller-than-average dead zone in CB in 2020,0,3,0,0,
130,Ches/HABs-ST-131,2,1,EH,2021-08-18,Using bioluminiscient HABs in FL to discuss the issue of HABs nationwide,1,1,0,0,
131,Ches/HABs-GC-9,2,1,KF,2021-08-01,Characteristics of blue-green algae,0,3,0,0,
132,Ches/HABs-GC-18,2,1,KF,2021-07-18,"HABS causing fish kills, government response inadequate",0,2,0,1,
133,Ches/HABs-GC-100,2,1,KF,2021-07-18,"Researchers predict smaller deadzone, but progress still needed",0,1,0,0,
134,Ches/HABs-GC-101,2,1,KF,2021-07-18,"Dead zone slightly smaller than average, but is still problematic",0,1,0,0,
135,Ches/HABs-GC-102,2,1,KF,2021-07-18,Pollution and runoff cuasing algae blooms in Lake Anna,0,3,0,0,Author is the director of Chesapeake Bay Foundation... not technically a press release but author has no journalistic credentials.
136,Ches/HABs-GC-118,2,1,KF,2021-07-18,Need long term solutions (targetted at climate change) to meet 2025 goals,1,0,3,0,
137,Ches/HABs-GC-119,2,1,KF,2021-07-18,Flush tax dispute ended with the Department of Defence agreeing to pay for sewage system upgrades instead,0,0,0,0,
138,Ches/HABs-GC-120,2,1,KF,2021-07-18,State budget cuts are threatening restoration efforts in Chesapeake Bay,0,1,0,0,
139,Ches/HABs-GC-121,2,1,KF,2021-07-18,Need long term solutions (targetted at climate change) to meet 2025 goals,1,0,3,0,
140,Ches/HABs-GC-122,2,1,KF,2021-07-18,Summarising and breaking down the progress made towards the Chesapeake Clean Water Blueprint,0,0,0,0,
141,Ches/HABs-GC-123,2,1,KF,2021-07-19,Court rules to continue Chesapeake Bay cleanup efforts,0,0,0,0,
142,Ches/HABs-JH-8,2,1,KF,2021-07-26,Researchers awarded research grant to help better predict HABs in Chesapeake bay,3,2,0,0,
143,Ches/HABs-JJ-11,2,1,KF,2021-07-26,Diet and climate change are both key contributors to HABs,2,1,0,0,
144,Ches/HABs-JJ-14,2,1,KF,2021-07-26,Explaining HABs impacts and that Virginia needs to set higher water standards ,1,3,0,0,
145,Ches/HABs-JJ-111,2,1,KF,2021-07-28," Projected smaller bloom than the previous year, but bloom will still be noticable",0,2,0,0,
146,Ches/HABs-JJ-112,2,1,KF,2021-07-28,NOAA funding HABs research accross the country,0,0,0,0,Only mentioned Chesapeake when it said that it was one of the places recieving funding from NOAA. Most of the article was focused on Florida. Not sure if this belongs in the sample?
147,Ches/HABs-JJ-114,2,1,KF,2021-07-28,Attributing the increased instances of HABs to both increased awareness and occurances,0,3,0,0,
148,Ches/HABs-JJ-115,2,1,KF,2021-07-28,Impacts of the HABs in Ohio's inland lakes and potential solutions,2,4,0,0,
149,Ches/HABs-JJ-221,2,1,KF,2021-07-28,More volunteers needed to help monitor after state programs face budget cuts,0,2,0,0,
150,Ches/HABs-JJ-222,2,1,KF,2021-08-02,Senate's climate legislation has positive implications for the health of Chesapeake Bay,3,0,1,0,"This article is focused on the climate legislation passed in the senate, but it wasn't passed because of / for HABs, that just seems to be a positive side effect, so I didn't code it in HR. Is that correct? "
151,Ches/HABs-JJ-223,2,1,KF,2021-08-02,EPA proposes legally enforceable water quality standards for Chlorophyll a to prevent algae blooms,0,1,0,0,
152,Ches/HABs-JJ-224,2,1,KF,2021-08-02,"Low spring flows suggest improved econolical conditions this summer, but new programs still needed to reduce pollution regardless of weather",0,0,0,0,
155,Ches/HABs-JJ-278,2,1,KF,2021-08-02,Maryland recieving EPA funding to reduce nutrient runoff in the bay,0,0,0,0,
156,Ches/HABs-JJ-279,2,1,KF,2021-08-02,"Researches predict smaller than average deadzones, but is still too large",0,2,0,0,
157,Ches/HABs-JJ-280,2,1,KF,2021-08-02,Eating less meat can help improve the health of Chesapeake Bay,0,2,0,0,
158,Ches/HABs-JJ-281,2,1,KF,2021-08-02,Baltimore hosts conference regarding environmental and human health problems in the Chesapeake,0,3,0,0,
159,Ches/HABs-JJ-282,2,1,KF,2021-08-02,Harmful algal blooms documented in Chesapeake bay,0,4,0,0,
160,Ches/HABs-JJ-283,2,1,KF,2021-08-02,Heavy snowfall in Maryland could increase algal blooms in Chesapeake in the summer,1,5,0,0,
161,Ches/HABs-JJ-284,2,1,KF,2021-08-10,Toxic algal blooms risks and causes,1,4,0,0,
162,Ches/HABs-JJ-285,2,1,KF,2021-08-10,Budget cuts under the Trump administration threaten Chesapeake bay clean up progress,0,1,0,0,
163,Ches/HABs-JJ-286,2,1,KF,2021-08-10,"Chesapeake bay health improves, but there is still work to be done",1,0,0,0,
164,Ches/HABs-JJ-287,2,1,KF,2021-08-10,The Nation's Triathalon cancelled the swim segment due to storm runoff delivering excess bacteria into rivers,0,0,0,0,
165,Ches/HABs-JJ-288,2,1,KF,2021-08-10,Advice on how to fertilise lawns effectively and protect the bay,0,0,0,0,
166,Ches/HABs-JJ-289,2,1,KF,2021-08-10,Blue algal blooms in the Chesapeake,0,1,0,0,
167,Ches/HABs-JJ-290,2,1,KF,2021-08-10,The Chesapeake Bay Foundation report find that Pennsylvania falls behind in cleanup efforts,0,2,0,0,
168,Ches/HABs-JJ-291,2,1,KF,2021-08-10,Algal blooms cause fish deaths,0,4,0,0,
169,Ches/HABs-JJ-293,2,1,KF,2021-08-10,Warmer temperatures having negative impacts on the bay,2,1,0,0,
170,Ches/HABs-JJ-294,2,1,KF,2021-08-10,The dead zone in chesapeake bay grew in size,0,2,0,0,
171,Ches/HABs-JJ-295,2,1,KF,2021-08-10,Dead zone increases in size due to high rainfall,0,0,0,0,
172,Ches/HABs-JJ-296,2,1,KF,2021-08-10,Phosphorus restrictions threaten chicken waste fertiliser selling business,0,0,0,0,
173,Ches/HABs-JJ-297,2,1,KF,2021-08-10,"Flash floods can cause runoff into the bay, causing HABs",0,0,0,0,
174,Ches/HABs-ST-101,2,1,KF,2021-08-17,"Change needed to reduce pollution into the Chesapeake, especially in the context of climate change",2,3,0,0,
175,Ches/HABs-ST-102,2,1,KF,2021-08-17,Causes of algal blooms and potential solutions,2,3,0,0,
176,Ches/HABs-ST-103,2,1,KF,2021-08-17,Efforts to prevent deadzones globally fall short of solving the problem,1,3,0,0,
177,Ches/HABs-ST-104,2,1,KF,2021-08-17,Global warming could increase the occurrances and intensity of algal blooms,6,2,0,0,
178,Ches/HABs-ST-105,2,1,KF,2021-08-17,Aruges that reduced meat consumption could reduce nutrient runoff and HABs,3,1,0,0,
179,Ches/HABs-ST-108,2,1,KF,2021-08-17,Climate change driving HABs globally,4,1,1,0,
180,Ches/HABs-ST-109,2,1,KF,2021-08-17,Need long term solutions (targetted at climate change) to meet 2025 goals,1,0,3,0,This is a duplicate with GC (118)
182,Ches/HABs-JJ-120,2,1,MH,2021-07-21,Algal blooms caused by pollution and climate change can be dangerous in various ways to people and action must be taken ,2,1,2,0,"There are a lot of hypothetical negative impacts in this article, most seem clear that they should not be included but there are a few that could be"
183,Ches/HABs-JJ-121,2,1,MH,2021-07-21,The article points out toxic algae hot spots where the public should avoid as they have been linked to dog deaths in other states ,0,1,0,0,
184,Ches/HABs-JJ-122,2,1,MH,2021-07-21,Climate change is increasing the number of algal blooms that are producing dangerous toxins ,3,2,0,0,
185,Ches/HABs-JJ-123,2,1,MH,2021-07-22,"Researchers are investigating why the algal blooms produced a toxic foam that injured surfers and killed at least 10,000 seabirds",0,3,0,0,
186,Ches/HABs-JJ-124,2,1,MH,2021-07-22,This article is a call to action for the government to set a limit on phosphorous pollution to reduce the effects of harmful algal blooms in Lake Eerie,0,1,0,0,
187,Ches/HABs-JJ-125,2,1,MH,2021-07-22,This article is a call to action for the government to set a limit on phosphorous pollution to reduce the effects of harmful algal blooms in Lake Eerie,0,1,0,0,same material as JJ 124
188,Ches/HABs-JJ-126,2,1,MH,2021-07-22,"Algal blooms are causing extreme damage in terms of animal deaths and loss of revenue for toursits, many past negative impacts are being linked to algal blooms ",1,4,0,0,
189,Ches/HABs-JJ-127,2,1,MH,2021-07-22,Scientists are receiving grants to study the negative effects HABs have had on communities in terms of economic downsides and fish deaths. ,0,2,0,0,
190,Ches/HABs-JJ-128,2,1,MH,2021-07-23,The federal government is investing in HAB research to determine causes of toxic algae outbreaks and deal with the negative impacts of these outbreaks.,0,2,0,0,
191,Ches/HABs-JJ-129,2,1,MH,2021-07-23,Many other lakes and bodies of water are facing the same problems with HABs as the Chesapeake Bay and are trying to restore water quality ,0,0,0,0,"there are many negative impacts mentioned, but none relate to the Chesapeake Bay but rather focus on other bodies of water like in Lake Erie"
192,Ches/HABs-JJ-244,2,1,MH,2021-07-23,HABs are present in North Carolina similar to the ones in the Chesapeake ,0,0,0,0,this sample could delete pages 9-11 as they are unrelated
193,Ches/HABs-JJ-245,2,1,MH,2021-07-23,Underwater grasses that help the Chesapeake prevent HABs are being grown at home by volunteers,0,0,0,0,
194,Ches/HABs-JJ-246,2,1,MH,2021-07-23,Virginia is implementing a Chesapeake water cleanup plan to increase the resilience to HABs,0,0,1,0,
195,Ches/HABs-JJ-247,2,1,MH,2021-07-23,Hampton Creek has experienced HABs which have contributed to fish kills,0,1,0,0,
196,Ches/HABs-JJ-248,2,1,MH,2021-07-23,The James River algal blooms are producing harmful effects ,1,1,0,0,
197,Ches/HABs-JJ-298,2,1,MH,2021-08-19,HABs are appearing in many states and inflicting serious damage on people and the surrounding environment ,0,0,0,0,
198,Ches/HABs-JJ-299,2,1,MH,2021-08-19,The US Court of appeals voted unanimoulsy to reduce pollution in the Chesapeake Bay to improve the water quality ,0,0,0,0,
199,Ches/HABs-JJ-300,2,1,MH,2021-08-19,Lancester County leads in poultry-related pollution that negatively impacts the Chesapeake Bay ,0,1,0,0,
200,Ches/HABs-JJ-301,2,1,MH,2021-08-19,PA looks at local legislative changes to help clean up the water quality through federal programs,0,0,0,0,
